player_defactions_stats_id,player_id,team_id,league_id,season_id,player_Tackles,player_Tackles_Att 3rd,player_Tackles_Def 3rd,player_Tackles_Mid 3rd,player_Tackles_TklW,player_Cha_Tkl_,player_Cha_Att,player_Cha_Tkl%_new,player_Cha_Lost,player_Blocks,player_Blocks_Clr,player_Blocks_Err,player_Blocks_Int,player_Blocks_Pass,player_Blocks_Sh,player_Blocks_Tkl+Int
1,2,PL_BRI_5,PL_1,1,6,2,1,3,3,0,2,0,2,4,2,0,0,4,0,6
2,2,PL_BRI_5,PL_1,1,6,2,1,3,3,0,2,0,2,4,2,0,0,4,0,6
3,67,PL_BRI_5,PL_1,1,28,4,11,13,13,8,39,0.20512820512820512,31,18,13,0,15,15,3,43
4,67,PL_BRI_5,PL_1,1,28,4,11,13,13,8,39,0.20512820512820512,31,18,13,0,15,15,3,43
5,74,PL_BRI_5,PL_1,1,29,4,15,10,16,12,25,0.48,13,29,92,3,47,13,16,76
6,3,PL_WES_19,PL_1,1,32,2,15,15,13,18,32,0.5625,14,29,79,2,32,15,14,64
7,3,PL_WES_19,PL_1,1,32,2,15,15,13,18,32,0.5625,14,29,79,2,32,15,14,64
8,1663,PL_WES_19,PL_1,1,1,0,0,1,1,0,0,NaN,0,0,0,0,0,0,0,1
9,1663,PL_WES_19,PL_1,1,1,0,0,1,1,0,0,NaN,0,0,0,0,0,0,0,1
10,1206,BL_BAY_3,BL_1,1,37,4,14,19,21,17,32,0.53125,15,29,60,0,43,16,13,80
11,1206,BL_BAY_3,BL_1,1,37,4,14,19,21,17,32,0.53125,15,29,60,0,43,16,13,80
12,4,LL_GRA_11,LL_1,1,1,0,1,0,1,1,1,1,0,0,6,0,0,0,0,1
13,461,LL_GRA_11,LL_1,1,0,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,0
14,101,LL_GRA_11,LL_1,1,5,1,1,3,2,2,3,0.6666666666666666,1,5,9,0,4,3,2,9
15,1204,BL_FRA_5,BL_1,1,18,2,13,3,12,11,17,0.6470588235294118,6,13,34,0,17,9,4,35
16,925,L1_SAI_19,L1_1,1,8,3,5,0,2,3,12,0.25,9,6,5,0,4,4,2,12
17,925,L1_SAI_19,L1_1,1,8,3,5,0,2,3,12,0.25,9,6,5,0,4,4,2,12
18,38,L1_SAI_19,L1_1,1,1,0,1,0,1,1,2,0.5,1,0,0,0,0,0,0,1
19,82,L1_SAI_19,L1_1,1,38,9,12,17,20,13,49,0.2653061224489796,36,15,6,0,10,14,1,48
20,82,L1_SAI_19,L1_1,1,38,9,12,17,20,13,49,0.2653061224489796,36,15,6,0,10,14,1,48
21,367,BL_FRE_6,BL_1,1,1,0,1,0,1,0,0,NaN,0,1,1,0,2,0,1,3
22,5,SA_BOL_3,SA_1,1,12,0,10,2,8,7,17,0.4117647058823529,10,6,15,1,15,5,1,27
23,78,SA_BOL_3,SA_1,1,24,0,17,7,14,6,12,0.5,6,28,72,0,20,5,23,44
24,7,L1_MET_10,L1_1,1,6,1,2,3,4,0,4,0,4,4,6,0,0,2,2,6
25,9,LL_CEL_7,LL_1,1,34,3,15,16,20,10,33,0.30303030303030304,23,15,37,0,13,11,4,47
26,9,LL_CEL_7,LL_1,1,34,3,15,16,20,10,33,0.30303030303030304,23,15,37,0,13,11,4,47
27,289,LL_CEL_7,LL_1,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0
28,289,LL_CEL_7,LL_1,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0
29,926,BL_LEV_12,BL_1,1,41,4,16,21,23,17,43,0.3953488372093023,26,32,17,0,33,28,4,74
30,9,BL_MAI_13,BL_1,1,3,0,2,1,2,2,4,0.5,2,1,2,0,2,1,0,5
31,9,BL_MAI_13,BL_1,1,3,0,2,1,2,2,4,0.5,2,1,2,0,2,1,0,5
32,16,BL_MAI_13,BL_1,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0
33,73,BL_MAI_13,BL_1,1,7,2,3,2,6,2,8,0.25,6,4,4,0,2,3,1,9
