player_shooting_stats_id,player_id,team_id,league_id,season_id,player_shooting_FK,player_shooting_G/Sh_new,player_shooting_Gls,player_shooting_G/SoT_new,player_shooting_PK,player_shooting_Sh,player_shooting_Sh/90_new,player_shooting_SoT,player_shooting_SoT/90_new,player_shooting_SoT%
2168,2795,SA_CRT_5,SA_1,1,9,0.09,9,0.2903225806451613,0,98,5.89,31,1.86,0.32
2168,2795,SA_CRT_5,SA_1,1,9,0.09,9,0.2903225806451613,0,98,6.18,31,1.95,0.32
2168,2795,SA_CRT_5,SA_1,1,9,0.09,9,0.2903225806451613,0,98,8.38,31,2.65,0.32
2168,2795,SA_CRT_5,SA_1,1,9,0.09,9,0.2903225806451613,0,98,10.41,31,3.29,0.32
2169,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,0.66,7,0.26,0.39
2169,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,1.06,7,0.41,0.39
2169,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,1.57,7,0.61,0.39
2169,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,2.33,7,0.9,0.39
2169,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,4.19,7,1.63,0.39
2170,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,0.66,7,0.26,0.39
2170,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,1.06,7,0.41,0.39
2170,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,1.57,7,0.61,0.39
2170,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,2.33,7,0.9,0.39
2170,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,4.19,7,1.63,0.39
2171,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,0.66,7,0.26,0.39
2171,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,1.06,7,0.41,0.39
2171,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,1.57,7,0.61,0.39
2171,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,2.33,7,0.9,0.39
2171,2798,L1_MOP_12,L1_1,1,5,0.06,1,0.14285714285714285,0,18,4.19,7,1.63,0.39
2172,2801,SA_PAM_14,SA_1,1,2,0.12,7,0.4666666666666667,4,56,2.16,15,0.58,0.27
2172,2801,SA_PAM_14,SA_1,1,2,0.12,7,0.4666666666666667,4,56,26.29,15,7.04,0.27
2173,2801,SA_PAM_14,SA_1,1,2,0.12,7,0.4666666666666667,4,56,2.16,15,0.58,0.27
2173,2801,SA_PAM_14,SA_1,1,2,0.12,7,0.4666666666666667,4,56,26.29,15,7.04,0.27
2174,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,0.05,0,0,0
2174,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,0.06,0,0,0
2174,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,0.11,0,0,0
