player_shooting_stats_id,player_id,team_id,league_id,season_id,player_shooting_FK,player_shooting_G/Sh_new,player_shooting_Gls,player_shooting_G/SoT_new,player_shooting_PK,player_shooting_Sh,player_shooting_Sh/90_new,player_shooting_SoT,player_shooting_SoT/90_new,player_shooting_SoT%
2026,2623,PL_NEW_15,PL_1,1,11,0.02,1,0.1111111111111111,0,42,1.44,9,0.31,0.21
2026,2623,PL_NEW_15,PL_1,1,11,0.02,1,0.1111111111111111,0,42,1.91,9,0.41,0.21
2026,2623,PL_NEW_15,PL_1,1,11,0.02,1,0.1111111111111111,0,42,7,9,1.5,0.21
2026,2623,PL_NEW_15,PL_1,1,11,0.02,1,0.1111111111111111,0,42,102.44,9,21.95,0.21
2027,2624,PL_EVE_8,PL_1,1,0,NaN,0,NaN,0,0,0,0,0,NaN
2028,2625,LL_OSA_14,LL_1,1,0,0,0,0,0,10,1.03,4,0.41,0.4
2029,2626,LL_ELC_9,LL_1,1,0,0,0,NaN,0,1,1.23,0,0,0
2030,2627,PL_WOL_20,PL_1,1,0,0,0,NaN,0,1,0.07,0,0,0
2030,2627,PL_WOL_20,PL_1,1,0,0,0,NaN,0,1,0.09,0,0,0
2030,2627,PL_WOL_20,PL_1,1,0,0,0,NaN,0,1,0.18,0,0,0
2030,2627,PL_WOL_20,PL_1,1,0,0,0,NaN,0,1,16.67,0,0,0
2031,2627,PL_WOL_20,PL_1,1,0,0,0,NaN,0,1,0.07,0,0,0
2031,2627,PL_WOL_20,PL_1,1,0,0,0,NaN,0,1,0.09,0,0,0
2031,2627,PL_WOL_20,PL_1,1,0,0,0,NaN,0,1,0.18,0,0,0
2031,2627,PL_WOL_20,PL_1,1,0,0,0,NaN,0,1,16.67,0,0,0
2032,2627,PL_WOL_20,PL_1,1,0,0,0,NaN,0,1,0.07,0,0,0
2032,2627,PL_WOL_20,PL_1,1,0,0,0,NaN,0,1,0.09,0,0,0
2032,2627,PL_WOL_20,PL_1,1,0,0,0,NaN,0,1,0.18,0,0,0
2032,2627,PL_WOL_20,PL_1,1,0,0,0,NaN,0,1,16.67,0,0,0
2033,2628,PL_LEI_11,PL_1,1,0,0.25,2,0.6666666666666666,0,8,0.29,3,0.11,0.38
2033,2628,PL_LEI_11,PL_1,1,0,0.25,2,0.6666666666666666,0,8,0.52,3,0.19,0.38
2033,2628,PL_LEI_11,PL_1,1,0,0.25,2,0.6666666666666666,0,8,0.53,3,0.2,0.38
2033,2628,PL_LEI_11,PL_1,1,0,0.25,2,0.6666666666666666,0,8,0.68,3,0.26,0.38
2033,2628,PL_LEI_11,PL_1,1,0,0.25,2,0.6666666666666666,0,8,2.29,3,0.86,0.38
2034,2629,L1_MAR_9,L1_1,1,0,0.25,1,1,0,4,0.44,1,0.11,0.25
2034,2629,L1_MAR_9,L1_1,1,0,0.25,1,1,0,4,0.46,1,0.11,0.25
2034,2629,L1_MAR_9,L1_1,1,0,0.25,1,1,0,4,0.87,1,0.22,0.25
2034,2629,L1_MAR_9,L1_1,1,0,0.25,1,1,0,4,1.8,1,0.45,0.25
2034,2629,L1_MAR_9,L1_1,1,0,0.25,1,1,0,4,2.82,1,0.7,0.25
2034,2629,L1_MAR_9,L1_1,1,0,0.25,1,1,0,4,3.96,1,0.99,0.25
2035,2629,L1_MAR_9,L1_1,1,0,0.25,1,1,0,4,0.44,1,0.11,0.25
2035,2629,L1_MAR_9,L1_1,1,0,0.25,1,1,0,4,0.46,1,0.11,0.25
2035,2629,L1_MAR_9,L1_1,1,0,0.25,1,1,0,4,0.87,1,0.22,0.25
2035,2629,L1_MAR_9,L1_1,1,0,0.25,1,1,0,4,1.8,1,0.45,0.25
2035,2629,L1_MAR_9,L1_1,1,0,0.25,1,1,0,4,2.82,1,0.7,0.25
2035,2629,L1_MAR_9,L1_1,1,0,0.25,1,1,0,4,3.96,1,0.99,0.25
