player_Misc_stats_id,player_id,team_id,league_id,season_id,player_Misc_perform_2CrdY,player_Misc_perform_CrdR,player_Misc_perform_CrdY,player_Misc_perform_Crs,player_Misc_perform_Fld,player_Misc_perform_Int,player_Misc_perform_Fls,player_Misc_perform_Off,player_Misc_perform_OG,player_Misc_perform_PKcon,player_Misc_perform_PKwon,player_Misc_perform_Recov,player_Misc_perform_TklW,player_Misc_aeriald_won%_new,player_Misc_aeriald_Won,player_Misc_aeriald_Lost
11364,4129,L1_STR_20,L1_1,2,0,0,1,7,2,0,1,0,0,0,0,9,1,0.5,1,1
11365,4129,L1_STR_20,L1_1,3,0,0,0,4,3,1,1,0,0,0,0,15,2,1,3,0
11366,4129,L1_STR_20,L1_1,3,0,0,0,4,3,1,1,0,0,0,0,15,2,1,3,0
11367,3015,PL_LEE_24,PL_1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
11368,5026,BL_ARM_1,BL_1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
11369,3026,L1_TRO_22,L1_1,3,0,0,0,6,2,1,1,3,0,0,0,5,1,0,0,3
11370,5399,SA_SAL_22,SA_1,2,0,0,0,32,1,8,8,1,0,0,0,49,6,0.14,2,12
11371,3032,SA_LEC_25,SA_1,3,0,0,6,51,37,8,31,11,0,0,0,82,20,0.18,7,32
11372,3032,SA_LEC_25,SA_1,3,0,0,6,51,37,8,31,11,0,0,0,82,20,0.18,7,32
11373,4977,SA_VEN_23,SA_1,2,0,1,8,49,11,10,49,0,0,0,0,94,14,0.43,12,16
11374,5126,L1_BOR_2,L1_1,2,0,0,0,6,5,2,3,1,0,0,0,2,0,0.2,1,4
11375,3055,SA_GEO_7,SA_1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11376,3058,LL_ELC_9,LL_1,3,0,0,2,86,2,2,7,2,0,0,0,49,9,0,0,8
11377,4783,L1_REI_17,L1_1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0
11378,4783,L1_REI_17,L1_1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0
11379,4783,L1_REI_17,L1_1,3,0,0,0,1,0,0,0,0,0,0,0,2,0,NaN,0,0
11380,4783,L1_REI_17,L1_1,3,0,0,0,1,0,0,0,0,0,0,0,2,0,NaN,0,0
11381,4404,L1_REI_17,L1_1,2,0,0,1,3,13,3,8,7,0,0,0,7,0,0.27,6,16
11382,3065,LL_ALM_24,LL_1,3,0,0,1,9,12,2,7,3,0,0,0,32,3,0.3,6,14
11383,3208,LL_ESP_21,LL_1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
11384,3208,LL_ESP_21,LL_1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
11385,3208,LL_ESP_21,LL_1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
11386,3208,LL_ESP_21,LL_1,3,0,0,0,3,0,0,1,1,0,0,0,5,2,NaN,0,0
11387,3208,LL_ESP_21,LL_1,3,0,0,0,3,0,0,1,1,0,0,0,5,2,NaN,0,0
11388,3208,LL_ESP_21,LL_1,3,0,0,0,3,0,0,1,1,0,0,0,5,2,NaN,0,0
11389,3075,L1_TRO_22,L1_1,2,0,0,1,1,16,2,10,4,0,0,1,15,4,0.38,8,13
11390,3075,L1_TRO_22,L1_1,2,0,0,1,1,16,2,10,4,0,0,1,15,4,0.38,8,13
11391,3075,L1_STR_20,L1_1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0
11392,3075,L1_STR_20,L1_1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0
11393,3075,L1_STR_20,L1_1,3,0,0,0,4,12,0,12,0,0,0,0,11,0,0.29,10,24
11394,3075,L1_STR_20,L1_1,3,0,0,0,4,12,0,12,0,0,0,0,11,0,0.29,10,24
11395,3386,BL_GLA_7,BL_1,2,0,0,10,2,60,34,39,1,0,0,1,147,37,0.5,20,20
11396,3386,BL_GLA_7,BL_1,3,0,0,12,6,74,32,52,0,0,1,0,221,39,0.39,16,25
11397,3076,BL_BRE_18,BL_1,3,0,0,2,18,6,12,6,1,0,0,0,42,10,0.53,8,7
11398,5103,SA_ATL_1,SA_1,2,0,0,4,97,21,15,37,6,1,0,0,158,24,0.57,27,20
11399,5103,SA_ATL_1,SA_1,2,0,0,4,97,21,15,37,6,1,0,0,158,24,0.57,27,20
11400,5103,SA_ATL_1,SA_1,3,0,0,7,158,27,19,48,6,0,0,0,193,26,0.62,38,23
11401,5103,SA_ATL_1,SA_1,3,0,0,7,158,27,19,48,6,0,0,0,193,26,0.62,38,23
11402,4139,BL_LEV_12,BL_1,2,0,0,3,5,7,26,15,0,0,1,0,140,17,0.54,30,26
11403,4139,BL_LEV_12,BL_1,3,0,0,3,4,4,24,17,1,0,0,0,123,14,0.63,29,17
11404,4670,L1_TRO_22,L1_1,2,0,0,5,7,65,46,43,1,0,0,0,231,22,0.38,17,28
11405,4670,L1_TRO_22,L1_1,3,0,0,9,5,48,49,52,0,0,0,0,229,27,0.5,21,21
11406,3082,BL_BVB_4,BL_1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5,1,1
11407,3082,BL_BVB_4,BL_1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5,1,1
11408,3085,L1_LIL_6,L1_1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0
11409,3085,L1_LIL_6,L1_1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0
11410,3087,L1_MET_10,L1_1,2,0,0,0,0,0,10,1,0,0,0,0,13,7,0.78,7,2
11411,3088,LL_ALM_24,LL_1,3,0,0,7,18,23,19,30,10,0,0,0,104,20,0.4,27,40
11412,3088,LL_ALM_24,LL_1,3,0,0,7,18,23,19,30,10,0,0,0,104,20,0.4,27,40
11413,3092,BL_SCH_15,BL_1,3,0,0,2,3,2,3,12,0,0,1,0,21,5,0.67,10,5
11414,5175,PL_NOR_25,PL_1,2,0,0,1,0,0,0,0,0,1,0,0,19,1,0.7,7,3
11415,3094,L1_MOP_12,L1_1,2,0,0,3,4,4,8,23,0,0,0,0,47,21,0.58,11,8
11416,3094,L1_MOP_12,L1_1,3,0,0,7,10,19,14,37,1,0,0,0,102,38,0.62,24,15
11417,3095,L1_LOR_7,L1_1,2,0,0,0,1,10,22,7,0,0,1,0,93,17,0.38,29,47
11418,3096,LL_MAL_22,LL_1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,NaN,0,0
11419,3099,SA_GEO_7,SA_1,2,1,2,4,0,6,8,15,3,0,0,0,85,9,0.77,63,19
11420,3100,SA_EMP_21,SA_1,2,0,0,1,25,16,8,7,0,0,0,0,49,6,0.45,5,6
11421,3932,L1_TRO_22,L1_1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,1,1
11422,3109,SA_UDN_20,SA_1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,NaN,0,0
11423,3112,SA_EMP_21,SA_1,2,0,0,0,5,2,1,1,5,0,0,0,11,1,0.08,1,11
11424,5333,BL_BOC_20,BL_1,2,0,0,1,2,4,17,6,0,1,0,0,52,12,0.65,30,16
11425,5333,BL_BOC_20,BL_1,3,0,0,2,0,6,13,8,0,0,2,0,33,8,0.53,18,16
11426,3869,L1_CLE_21,L1_1,2,0,0,1,14,5,7,19,14,0,0,0,50,5,0.46,44,51
11427,3869,L1_CLE_21,L1_1,2,0,0,1,14,5,7,19,14,0,0,0,50,5,0.46,44,51
11428,3869,L1_LIL_6,L1_1,3,0,0,1,2,4,0,13,6,0,0,0,13,3,0.45,13,16
11429,3869,L1_LIL_6,L1_1,3,0,0,1,2,4,0,13,6,0,0,0,13,3,0.45,13,16
11430,3122,PL_BRI_5,PL_1,3,0,0,1,1,10,15,8,0,0,0,0,74,7,0.71,45,18
11431,3123,L1_TRO_22,L1_1,2,0,0,0,2,1,0,2,2,0,0,0,2,0,0,0,2
11432,5510,L1_TRO_22,L1_1,2,0,0,1,15,8,7,2,0,0,0,1,19,5,0.57,4,3
11433,5510,L1_TRO_22,L1_1,2,0,0,1,15,8,7,2,0,0,0,1,19,5,0.57,4,3
11434,5510,L1_TRO_22,L1_1,3,0,0,1,50,31,26,14,3,1,0,0,123,13,0.59,20,14
11435,5510,L1_TRO_22,L1_1,3,0,0,1,50,31,26,14,3,1,0,0,123,13,0.59,20,14
11436,3127,PL_BOU_3,PL_1,3,0,0,4,45,10,23,15,0,0,0,0,129,22,0.41,7,10
11437,3127,PL_BOU_3,PL_1,3,0,0,4,45,10,23,15,0,0,0,0,129,22,0.41,7,10
11438,5110,L1_LOR_7,L1_1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0.33,1,2
11439,5110,L1_LOR_7,L1_1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0.33,1,2
11440,5110,L1_LOR_7,L1_1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0.33,1,2
11441,5110,L1_LOR_7,L1_1,3,0,0,0,13,3,18,5,0,0,0,0,78,19,0.42,10,14
11442,5110,L1_LOR_7,L1_1,3,0,0,0,13,3,18,5,0,0,0,0,78,19,0.42,10,14
11443,5110,L1_LOR_7,L1_1,3,0,0,0,13,3,18,5,0,0,0,0,78,19,0.42,10,14
11444,3130,SA_BOL_3,SA_1,3,0,0,4,13,41,19,50,6,0,0,0,106,25,0.43,27,36
11445,3130,SA_BOL_3,SA_1,3,0,0,4,13,41,19,50,6,0,0,0,106,25,0.43,27,36
11446,3131,PL_CHE_6,PL_1,3,0,0,1,34,11,11,3,1,0,0,0,48,12,0.58,7,5
11447,3133,PL_NEW_15,PL_1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0
11448,4299,SA_VEN_23,SA_1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
11449,5462,LL_ESP_21,LL_1,2,0,0,0,4,5,4,5,5,0,0,0,16,2,0.27,8,22
11450,3715,BL_BOC_20,BL_1,2,0,0,2,5,0,31,9,1,0,0,0,148,10,0.56,31,24
11451,3715,BL_MAI_13,BL_1,3,0,0,0,0,3,18,3,0,0,0,0,35,7,0.58,18,13
11452,3141,PL_LEE_24,PL_1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0
11453,5176,BL_KÖL_11,BL_1,2,0,0,0,1,3,2,4,0,0,0,0,7,1,0.33,5,10
11454,5176,BL_KÖL_11,BL_1,3,0,0,0,1,0,1,2,0,0,0,0,15,4,0.33,4,8
11455,4690,LL_VAL_18,LL_1,2,0,0,2,0,0,2,2,0,0,0,0,8,3,0,0,1
11456,3147,BL_KÖL_11,BL_1,3,0,0,1,87,21,5,17,18,0,0,0,104,12,0.04,1,26
11457,3149,BL_BVB_4,BL_1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0
11458,3154,PL_MUN_14,PL_1,3,0,0,6,0,10,33,21,0,0,0,0,164,28,0.51,32,31
11459,3155,PL_BOU_3,PL_1,3,0,0,3,14,5,26,17,0,0,1,0,131,18,0.64,36,20
11460,3209,SA_VEN_23,SA_1,2,0,0,2,0,1,0,0,0,0,0,0,6,0,NaN,0,0
11461,3156,LL_ESP_21,LL_1,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0
11462,3157,L1_TOU_25,L1_1,3,0,0,0,0,4,4,2,0,1,0,0,24,4,0.62,5,3
11463,5318,PL_SOU_17,PL_1,2,0,0,2,62,36,47,12,1,0,0,1,176,28,0.49,24,25
11464,5318,PL_SOU_17,PL_1,2,0,0,2,62,36,47,12,1,0,0,1,176,28,0.49,24,25
11465,5318,PL_SOU_17,PL_1,3,0,0,0,0,2,2,0,0,0,0,0,4,1,0,0,1
11466,5318,PL_SOU_17,PL_1,3,0,0,0,0,2,2,0,0,0,0,0,4,1,0,0,1
11467,3176,SA_SAP_16,SA_1,3,0,0,2,2,1,0,4,0,0,0,0,6,0,0.67,2,1
11468,3188,L1_MET_10,L1_1,2,0,0,0,1,5,0,16,5,0,0,0,8,0,0.31,10,22
11469,3190,BL_KÖL_11,BL_1,2,0,0,0,34,8,3,8,3,0,0,0,56,10,0.19,3,13
11470,3191,L1_REN_18,L1_1,2,0,0,0,4,1,2,0,2,0,0,0,7,1,1,2,0
11471,4785,L1_LOR_7,L1_1,2,0,0,0,13,5,5,4,1,0,1,0,19,5,0.78,7,2
11472,3192,L1_REN_18,L1_1,2,0,0,1,85,32,11,35,1,0,0,0,140,21,0.23,3,10
11473,3192,L1_REN_18,L1_1,2,0,0,1,85,32,11,35,1,0,0,0,140,21,0.23,3,10
11474,3192,L1_REN_18,L1_1,3,0,0,3,67,30,21,48,3,0,0,1,143,23,0.47,7,8
11475,3192,L1_REN_18,L1_1,3,0,0,3,67,30,21,48,3,0,0,1,143,23,0.47,7,8
11476,3425,BL_HER_8,BL_1,2,0,0,1,0,5,1,0,0,0,0,0,13,0,0.86,6,1
11477,3194,L1_MAR_9,L1_1,2,0,0,6,24,18,43,19,0,1,1,0,143,35,0.63,41,24
11478,3369,LL_ALA_1,LL_1,2,0,0,10,4,22,37,50,1,0,0,0,160,22,0.7,100,42
11479,3199,SA_SAS_17,SA_1,3,0,0,0,7,9,1,4,1,0,0,0,13,0,0.4,2,3
11480,3200,LL_CEL_7,LL_1,3,0,0,6,21,12,9,33,4,0,0,0,98,19,0.18,5,23
11481,3221,SA_SAL_22,SA_1,2,0,0,9,66,10,22,16,2,0,0,0,103,21,0.53,18,16
11482,4075,SA_VEN_23,SA_1,2,0,0,1,0,1,0,1,0,0,1,0,22,0,1,7,0
11483,3223,SA_MIL_12,SA_1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0
11484,3225,BL_WOL_19,BL_1,2,0,0,2,7,8,8,10,0,0,0,1,37,1,0.14,2,12
11485,3225,BL_WOL_19,BL_1,2,0,0,2,7,8,8,10,0,0,0,1,37,1,0.14,2,12
11486,3583,BL_STU_16,BL_1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
11487,3583,BL_STU_16,BL_1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
11488,3226,BL_HER_8,BL_1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
11489,3228,LL_RAY_23,LL_1,2,0,1,0,0,1,0,1,0,0,1,0,11,0,1,1,0
11490,5540,L1_CLE_21,L1_1,2,0,0,2,12,25,20,21,5,0,0,1,99,31,0.48,36,39
11491,5540,L1_CLE_21,L1_1,2,0,0,2,12,25,20,21,5,0,0,1,99,31,0.48,36,39
11492,5540,L1_CLE_21,L1_1,3,0,0,6,14,48,25,48,3,0,3,0,149,54,0.36,27,47
11493,5540,L1_CLE_21,L1_1,3,0,0,6,14,48,25,48,3,0,3,0,149,54,0.36,27,47
11494,3237,L1_LIL_6,L1_1,3,0,0,1,0,5,2,0,0,0,0,0,55,1,1,2,0
11495,5553,SA_FIR_6,SA_1,2,0,0,5,18,19,6,43,0,0,0,0,48,16,0.55,11,9
11496,5553,SA_FIR_6,SA_1,3,0,0,2,7,3,1,8,0,0,0,0,20,1,0.43,3,4
11497,5553,SA_LEC_25,SA_1,3,0,0,3,8,10,5,22,3,0,0,0,50,8,0.5,8,8
11498,4551,SA_SPZ_18,SA_1,2,0,0,9,6,62,4,54,11,0,0,1,57,12,0.42,69,96
11499,4559,L1_BOR_2,L1_1,2,0,0,2,39,29,25,26,1,1,1,0,132,22,0.45,25,31
11500,4091,LL_RAY_23,LL_1,2,0,0,4,0,4,15,11,0,0,0,0,37,9,0.52,29,27
11501,3270,SA_SAS_17,SA_1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
11502,3814,LL_BAR_4,LL_1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0
11503,3281,LL_GRA_11,LL_1,2,0,0,2,0,3,1,0,0,1,0,0,50,1,0.86,6,1
11504,3281,SA_LAZ_11,SA_1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0
11505,3536,LL_CAD_6,LL_1,2,0,0,1,3,1,1,4,0,0,0,0,5,2,0.55,6,5
11506,4252,LL_LEV_13,LL_1,2,0,0,2,14,9,15,11,1,0,0,0,46,8,0.48,11,12
11507,3293,LL_BET_5,LL_1,3,0,0,6,31,41,14,25,5,0,0,0,127,34,0.4,27,41
11508,3297,SA_CRM_24,SA_1,3,0,0,4,6,9,22,27,1,0,1,0,88,19,0.54,38,32
11509,3300,SA_LAZ_11,SA_1,2,0,0,0,1,3,1,2,0,0,0,0,4,1,0,0,1
11510,3300,SA_LAZ_11,SA_1,2,0,0,0,1,3,1,2,0,0,0,0,4,1,0,0,1
11511,3303,BL_WOL_19,BL_1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,NaN,0,0
